iter	Logloss
0	0.5085506328
1	0.3991385842
2	0.3589702862
3	0.3428552377
4	0.3334752334
5	0.3201116773
6	0.3084008757
7	0.2984812782
8	0.2928967168
9	0.2870439698
10	0.2834436684
11	0.276287555
12	0.2704867487
13	0.2680980311
14	0.2592497414
15	0.2525513929
16	0.2464017474
17	0.2426458011
18	0.2361366256
19	0.2304743244
20	0.2254557373
21	0.2191054746
22	0.2128568973
23	0.2075762655
24	0.2017474571
25	0.1975166004
26	0.1933988179
27	0.187206459
28	0.1853727635
29	0.179482284
30	0.1731464879
31	0.170341555
32	0.1654625694
33	0.1595807102
34	0.1557891677
35	0.1547623636
36	0.151426558
37	0.1468343613
38	0.143041378
39	0.1395537265
